Timestamp,Origin,Destination,Price,Currency
2026-04-07 13:55:37,Provo Municipal Airport,Dallas-Fort Worth International Airport,325.0,USD
2026-04-07 13:55:51,Provo Municipal Airport,Dallas-Fort Worth International Airport,325.0,USD
2026-04-07 14:00:39,Provo Municipal Airport,Dallas-Fort Worth International Airport,325.0,USD
2026-04-16 15:06:15,PVU 6-Day (Apr 19-24),567.0,American Airlines,Breeze Airways,16:04,13:29
2026-04-16 15:06:15,PVU 5-Day (Apr 18-22),732.0,American Airlines,American Airlines,07:00,22:02
2026-04-16 15:06:15,PVU 5-Day (Apr 19-23),746.0,American Airlines,American Airlines,16:04,22:02
2026-04-16 15:06:15,PVU 6-Day (Apr 17-22),757.0,American Airlines,American Airlines,07:00,22:02
2026-04-16 15:56:31,PVU 5-Day (Apr 21-25),391.0,American Airlines,American Airlines,07:00,13:32
2026-04-16 15:56:31,PVU 5-Day (Apr 17-21),416.0,American Airlines,American Airlines,07:00,13:32
2026-04-16 15:56:31,PVU 6-Day (Apr 20-25),416.0,American Airlines,American Airlines,07:00,13:32
2026-04-16 15:56:31,PVU 7-Day (Apr 18-24),416.0,American Airlines,American Airlines,07:00,13:01
2026-04-16 15:56:31,PVU 7-Day (Apr 19-25),416.0,American Airlines,American Airlines,16:04,13:32
2026-04-16 15:56:31,PVU 6-Day (Apr 18-23),457.0,American Airlines,American Airlines,07:00,22:02
2026-04-16 15:56:31,PVU 7-Day (Apr 17-23),482.0,American Airlines,American Airlines,07:00,22:02
2026-04-16 15:56:31,PVU 6-Day (Apr 19-24),567.0,American Airlines,American Airlines,16:04,13:01
2026-04-16 15:56:31,PVU 5-Day (Apr 20-24),695.0,American Airlines,American Airlines,07:00,13:01
2026-04-16 15:56:31,PVU 5-Day (Apr 18-22),732.0,American Airlines,American Airlines,07:00,22:02
2026-04-16 15:56:31,PVU 5-Day (Apr 19-23),746.0,American Airlines,American Airlines,16:04,22:02
2026-04-16 15:56:31,PVU 6-Day (Apr 17-22),757.0,American Airlines,American Airlines,07:00,22:02
